state,date,division,index
Johor,2010/1/1,overall,99.4
Johor,2010/2/1,overall,99.4
Johor,2010/3/1,overall,99.4
Johor,2010/4/1,overall,99.4
Johor,2010/5/1,overall,99.6
Johor,2010/6/1,overall,99.8
Johor,2010/7/1,overall,100.1
Johor,2010/8/1,overall,100.3
Johor,2010/9/1,overall,100.3
Johor,2010/10/1,overall,100.5
Johor,2010/11/1,overall,100.8
Johor,2010/12/1,overall,101.1
Johor,2011/1/1,overall,101.7
Johor,2011/2/1,overall,102.4
Johor,2011/3/1,overall,102.3
Johor,2011/4/1,overall,102.5
Johor,2011/5/1,overall,102.8
Johor,2011/6/1,overall,103.3
Johor,2011/7/1,overall,103.6
Johor,2011/8/1,overall,103.7
Johor,2011/9/1,overall,103.9
Johor,2011/10/1,overall,104.2
Johor,2011/11/1,overall,104.2
Johor,2011/12/1,overall,104.4
Johor,2012/1/1,overall,105
Johor,2012/2/1,overall,104.7
Johor,2012/3/1,overall,104.5
Johor,2012/4/1,overall,104.5
Johor,2012/5/1,overall,104.9
Johor,2012/6/1,overall,105.1
Johor,2012/7/1,overall,105.1
Johor,2012/8/1,overall,105.4
Johor,2012/9/1,overall,105.6
Johor,2012/10/1,overall,105.6
Johor,2012/11/1,overall,105.8
Johor,2012/12/1,overall,105.9
Johor,2013/1/1,overall,106.5
Johor,2013/2/1,overall,106.7
Johor,2013/3/1,overall,106.7
Johor,2013/4/1,overall,106.6
Johor,2013/5/1,overall,106.9
Johor,2013/6/1,overall,107.1
Johor,2013/7/1,overall,107.4
Johor,2013/8/1,overall,107.6
Johor,2013/9/1,overall,108.7
Johor,2013/10/1,overall,109.3
Johor,2013/11/1,overall,109.5
Johor,2013/12/1,overall,110
Johor,2014/1/1,overall,110.5
Johor,2014/2/1,overall,110.7
Johor,2014/3/1,overall,110.8
Johor,2014/4/1,overall,110.9
Johor,2014/5/1,overall,111
Johor,2014/6/1,overall,111.2
Johor,2014/7/1,overall,111.4
Johor,2014/8/1,overall,111.8
Johor,2014/9/1,overall,112
Johor,2014/10/1,overall,112.7
Johor,2014/11/1,overall,113.4
Johor,2014/12/1,overall,113.3
Johor,2015/1/1,overall,112.2
Johor,2015/2/1,overall,111.1
Johor,2015/3/1,overall,112.3
Johor,2015/4/1,overall,113.6
Johor,2015/5/1,overall,114
Johor,2015/6/1,overall,114.9
Johor,2015/7/1,overall,115.9
Johor,2015/8/1,overall,116.3
Johor,2015/9/1,overall,115.9
Johor,2015/10/1,overall,116.5
Johor,2015/11/1,overall,117.5
Johor,2015/12/1,overall,117.6
Johor,2016/1/1,overall,117.4
Johor,2016/2/1,overall,117.2
Johor,2016/3/1,overall,116.5
Johor,2016/4/1,overall,117.1
Johor,2016/5/1,overall,117.4
Johor,2016/6/1,overall,117.6
Johor,2016/7/1,overall,118.1
Johor,2016/8/1,overall,118.5
Johor,2016/9/1,overall,118.2
Johor,2016/10/1,overall,118.5
Johor,2016/11/1,overall,119.7
Johor,2016/12/1,overall,119.7
Johor,2017/1/1,overall,121.4
Johor,2017/2/1,overall,123.2
Johor,2017/3/1,overall,123
Johor,2017/4/1,overall,122.8
Johor,2017/5/1,overall,122.3
Johor,2017/6/1,overall,122.2
Johor,2017/7/1,overall,122.1
Johor,2017/8/1,overall,123.3
Johor,2017/9/1,overall,123.7
Johor,2017/10/1,overall,123.5
Johor,2017/11/1,overall,124.3
Johor,2017/12/1,overall,124.5
Johor,2018/1/1,overall,124.9
Johor,2018/2/1,overall,125
Johor,2018/3/1,overall,124.4
Johor,2018/4/1,overall,124.4
Johor,2018/5/1,overall,124.7
Johor,2018/6/1,overall,123.1
Johor,2018/7/1,overall,123.3
Johor,2018/8/1,overall,123.6
Johor,2018/9/1,overall,124
Johor,2018/10/1,overall,124.3
Johor,2018/11/1,overall,124.7
Johor,2018/12/1,overall,124.6
Johor,2019/1/1,overall,124
Johor,2019/2/1,overall,124.3
Johor,2019/3/1,overall,124.6
Johor,2019/4/1,overall,124.7
Johor,2019/5/1,overall,125
Johor,2019/6/1,overall,125
Johor,2019/7/1,overall,125.2
Johor,2019/8/1,overall,125.3
Johor,2019/9/1,overall,125.5
Johor,2019/10/1,overall,125.7
Johor,2019/11/1,overall,125.7
Johor,2019/12/1,overall,126
Johor,2020/1/1,overall,126.2
Johor,2020/2/1,overall,126
Johor,2020/3/1,overall,124.3
Johor,2020/4/1,overall,120.5
Johor,2020/5/1,overall,120.8
Johor,2020/6/1,overall,122.3
Johor,2020/7/1,overall,123.1
Johor,2020/8/1,overall,123.2
Johor,2020/9/1,overall,123.1
Johor,2020/10/1,overall,123.1
Johor,2020/11/1,overall,123
Johor,2020/12/1,overall,123.5
Johor,2021/1/1,overall,125.2
Johor,2021/2/1,overall,125.7
Johor,2021/3/1,overall,126.2
Johor,2021/4/1,overall,126.4
Johor,2021/5/1,overall,126.3
Johor,2021/6/1,overall,126.5
Johor,2021/7/1,overall,125.7
Johor,2021/8/1,overall,125.7
Johor,2021/9/1,overall,126
Johor,2021/10/1,overall,126.9
Johor,2021/11/1,overall,127.3
Johor,2021/12/1,overall,127.7
Johor,2022/1/1,overall,128
Johor,2022/2/1,overall,128.1
Johor,2022/3/1,overall,128.7
Johor,2022/4/1,overall,129
Johor,2022/5/1,overall,130
Johor,2022/6/1,overall,131.2
Johor,2022/7/1,overall,131.6
Johor,2022/8/1,overall,131.8
Johor,2022/9/1,overall,131.9
Johor,2022/10/1,overall,131.9
Johor,2022/11/1,overall,132.6
Johor,2022/12/1,overall,132.7
Johor,2023/1/1,overall,132.9
Johor,2023/2/1,overall,133.4
Johor,2023/3/1,overall,133.4
Johor,2023/4/1,overall,133.3
Johor,2023/5/1,overall,133.5
